directors,popularity,stars,title,writers
Alfred Hitchcock,"1,512","James Stewart,Grace Kelly,Wendell Corey",Rear Window,"John Michael Hayes,Cornell Woolrich"
Damien Chazelle,425,"Miles Teller,J.K. Simmons,Melissa Benoist",Whiplash,Damien Chazelle
Roger Allers,9,"Matthew Broderick,Jeremy Irons,James Earl Jones",The Lion King,"Irene Mecchi,Jonathan Roberts,27 more credits"
James Cameron,244,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",Terminator 2: Judgment Day,"James Cameron,William Wisher"
Martin Scorsese,226,"Leonardo DiCaprio,Matt Damon,Jack Nicholson",The Departed,"William Monahan,Alan Mak,1 more credit"
Robert Zemeckis,233,"Michael J. Fox,Christopher Lloyd,Lea Thompson",Back to the Future,"Robert Zemeckis,Bob Gale"
Olivier Nakache,711,"François Cluzet,Omar Sy,Anne Le Ny",The Intouchables,"Olivier Nakache,Philippe Pozzo di Borgo,1 more credit"
Charles Chaplin,"4,682","Charles Chaplin,Paulette Goddard,Henry Bergman",Modern Times,Charles Chaplin
Roman Polanski,844,"Adrien Brody,Thomas Kretschmann,Frank Finlay",The Pianist,"Ronald Harwood,Wladyslaw Szpilman"
Sergio Leone,783,"Henry Fonda,Charles Bronson,Claudia Cardinale",Once Upon a Time in the West,"Sergio Donati,Sergio Leone,3 more credits"
Michael Curtiz,"1,166","Humphrey Bogart,Ingrid Bergman,Paul Henreid",Casablanca,"Julius J. Epstein,Philip G. Epstein,3 more credits"
Tony Kaye,399,"Edward Norton,Edward Furlong,Beverly D'Angelo",American History X,David McKenna
Alfred Hitchcock,587,"Anthony Perkins,Janet Leigh,Vera Miles",Psycho,"Joseph Stefano,Robert Bloch"
Christopher Nolan,104,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",Interstellar,"Jonathan Nolan,Christopher Nolan"
Frank Darabont,486,"Tom Hanks,Michael Clarke Duncan,David Morse",The Green Mile,"Stephen King,Frank Darabont"
Luc Besson,235,"Jean Reno,Gary Oldman,Natalie Portman",Léon: The Professional,Luc Besson
Bryan Singer,507,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri",The Usual Suspects,Christopher McQuarrie
Steven Spielberg,333,"Tom Hanks,Matt Damon,Tom Sizemore",Saving Private Ryan,Robert Rodat
Hayao Miyazaki,541,"Daveigh Chase,Suzanne Pleshette,Miyu Irino",Spirited Away,Hayao Miyazaki
Roberto Benigni,986,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",Life Is Beautiful,"Vincenzo Cerami,Roberto Benigni"
Frank Capra,"1,589","James Stewart,Donna Reed,Lionel Barrymore",It's a Wonderful Life,"Frances Goodrich,Albert Hackett,3 more credits"
Jonathan Demme,177,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",The Silence of the Lambs,"Thomas Harris,Ted Tally"
George Lucas,409,"Mark Hamill,Harrison Ford,Carrie Fisher",Star Wars: Episode IV - A New Hope,George Lucas
Fernando Meirelles,803,"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",City of God,"Paulo Lins,Bráulio Mantovani"
Anthony Russo,5,"Robert Downey Jr.,Chris Evans,Mark Ruffalo",Avengers: Endgame,"Christopher Markus,Stephen McFeely,4 more credits"
David Fincher,303,"Morgan Freeman,Brad Pitt,Kevin Spacey",Se7en,Andrew Kevin Walker
Akira Kurosawa,896,"Toshirô Mifune,Takashi Shimura,Keiko Tsushima",Seven Samurai,"Akira Kurosawa,Shinobu Hashimoto,1 more credit"
Lana Wachowski,145,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",The Matrix,"Lilly Wachowski,Lana Wachowski"
Martin Scorsese,274,"Robert De Niro,Ray Liotta,Joe Pesci",Goodfellas,"Nicholas Pileggi,Nicholas Pileggi,1 more credit"
